Start,End,Speaker,Start in s,End in s,Duration in s
0:17:14.847199,0:17:15.645161,SPEAKER_08,1034.8471986417658,1035.6451612903224,0.7979626485566769
0:17:16.205433,0:17:18.599321,SPEAKER_08,1036.2054329371817,1038.5993208828522,2.3938879456704854
0:17:20.772496,0:17:22.453311,SPEAKER_08,1040.7724957555179,1042.4533106960953,1.6808149405774202
0:17:23.828523,0:17:27.003396,SPEAKER_02,1043.8285229202038,1047.0033955857384,3.1748726655346218
0:17:27.886248,0:17:30.738540,SPEAKER_02,1047.8862478777592,1050.7385398981323,2.85229202037317
0:17:31.791171,0:17:40.212224,SPEAKER_02,1051.7911714770798,1060.212224108659,8.421052631579187
0:17:42.181664,0:17:45.662139,SPEAKER_01,1062.181663837012,1065.6621392190154,3.480475382003533
0:17:47.648557,0:17:51.655348,SPEAKER_01,1067.6485568760613,1071.6553480475382,4.006791171476834
0:17:51.893039,0:17:58.106961,SPEAKER_01,1071.893039049236,1078.106960950764,6.2139219015280105
0:17:58.853990,0:18:01.315789,SPEAKER_01,1078.853989813243,1081.3157894736842,2.461799660441102
0:18:01.994907,0:18:03.098472,SPEAKER_01,1081.9949066213921,1083.0984719864177,1.103565365025588
0:18:04.575552,0:18:08.310696,SPEAKER_01,1084.5755517826824,1088.3106960950763,3.7351443123939134
0:18:09.193548,0:18:15.797963,SPEAKER_01,1089.193548387097,1095.7979626485571,6.604414261460079
0:18:17.359932,0:18:19.278438,SPEAKER_01,1097.3599320882854,1099.2784380305602,1.9185059422748054
0:18:20.857385,0:18:32.130730,SPEAKER_01,1100.8573853989815,1112.1307300509338,11.273344651952357
0:18:33.268251,0:18:36.918506,SPEAKER_01,1113.2682512733445,1116.9185059422753,3.6502546689307565
0:18:38.361630,0:18:50.415959,SPEAKER_01,1118.3616298811544,1130.4159592529713,12.054329371816948
0:18:51.893039,0:18:58.921902,SPEAKER_01,1131.893039049236,1138.9219015280137,7.0288624787776826
0:19:00.789474,0:19:16.239389,SPEAKER_01,1140.7894736842104,1156.2393887945673,15.44991511035687
0:19:17.139219,0:19:24.337861,SPEAKER_01,1157.13921901528,1164.337860780985,7.198641765704906
0:19:24.711375,0:19:33.794567,SPEAKER_01,1164.711375212224,1173.7945670628183,9.083191850594176
0:19:35.407470,0:19:51.536503,SPEAKER_01,1175.407470288625,1191.5365025466895,16.1290322580644
0:19:52.266553,0:19:54.354839,SPEAKER_01,1192.2665534804755,1194.3548387096776,2.088285229202029
