Start,End,Speaker,Start in s,End in s
823.5738539898132,826.6638370118847,Helen,0:13:43.573854,0:13:46.663837
827.7504244482172,829.5500848896434,Helen,0:13:47.750424,0:13:49.550085
830.025466893039,831.6044142614601,Helen,0:13:50.025467,0:13:51.604414
832.1816638370119,835.1358234295417,Helen,0:13:52.181664,0:13:55.135823
835.899830220713,838.9219015280137,Helen,0:13:55.899830,0:13:58.921902
842.062818336163,850.2461799660441,Helen,0:14:02.062818,0:14:10.246180
850.6366723259762,853.0645161290322,Helen,0:14:10.636672,0:14:13.064516
853.2682512733447,858.2258064516129,Helen,0:14:13.268251,0:14:18.225806
859.804753820034,861.3157894736842,Frederic,0:14:19.804754,0:14:21.315789
863.0645161290322,872.3684210526317,Frederic,0:14:23.064516,0:14:32.368421
874.3887945670629,881.4176570458403,Frederic,0:14:34.388795,0:14:41.417657
883.5568760611206,888.8030560271648,Frank,0:14:43.556876,0:14:48.803056
890.365025466893,895.5602716468591,Frank,0:14:50.365025,0:14:55.560272
897.1222410865873,898.5314091680816,Frank,0:14:57.122241,0:14:58.531409
899.5670628183361,903.0984719864177,Frank,0:14:59.567063,0:15:03.098472
903.1494057724958,904.9490662139219,Frank,0:15:03.149406,0:15:04.949066
906.6129032258063,909.8387096774193,Frank,0:15:06.612903,0:15:09.838710
910.8404074702887,913.251273344652,Frank,0:15:10.840407,0:15:13.251273
913.7096774193549,916.9864176570459,Frank,0:15:13.709677,0:15:16.986418
918.2088285229202,919.7707979626487,Frank,0:15:18.208829,0:15:19.770798
920.8913412563668,921.8421052631579,Frank,0:15:20.891341,0:15:21.842105
922.0967741935483,925.4074702886248,Frank,0:15:22.096774,0:15:25.407470
926.8505942275042,932.3853989813242,Frank,0:15:26.850594,0:15:32.385399
935.169779286927,941.723259762309,Frank,0:15:35.169779,0:15:41.723260
942.623089983022,944.490662139219,Frank,0:15:42.623090,0:15:44.490662
944.9830220713072,946.1375212224109,Frank,0:15:44.983022,0:15:46.137521
946.7317487266553,948.4974533106961,Frank,0:15:46.731749,0:15:48.497453
950.195246179966,951.7062818336162,Frank,0:15:50.195246,0:15:51.706282
952.402376910017,955.6112054329371,Frank,0:15:52.402377,0:15:55.611205
957.6315789473683,959.4821731748727,Frank,0:15:57.631579,0:15:59.482173
960.9252971137521,963.4550084889643,Frank,0:16:00.925297,0:16:03.455008
965.7470288624788,967.5127334465196,Frank,0:16:05.747029,0:16:07.512733
968.4974533106961,969.6179966044142,Frank,0:16:08.497453,0:16:09.617997
970.704584040747,972.8098471986418,Frank,0:16:10.704584,0:16:12.809847
974.9490662139219,986.0865874363328,Frank,0:16:14.949066,0:16:26.086587
987.9541595925298,993.8624787775891,Helen,0:16:27.954160,0:16:33.862479
995.1867572156198,998.5483870967741,Helen,0:16:35.186757,0:16:38.548387
999.6010186757217,1000.5517826825128,Helen,0:16:39.601019,0:16:40.551783
1000.53480475382,1000.8234295415959,Helen,0:16:40.534805,0:16:40.823430
1001.2648556876061,1006.4261460101868,Helen,0:16:41.264856,0:16:46.426146
1008.7351443123939,1020.8913412563668,Narrator,0:16:48.735144,0:17:00.891341
1023.5229202037351,1030.585738539898,Ophelie,0:17:03.522920,0:17:10.585739
1031.7402376910018,1033.590831918506,Ophelie,0:17:11.740238,0:17:13.590832
1034.8471986417658,1035.6451612903224,Ophelie,0:17:14.847199,0:17:15.645161
1036.2054329371817,1038.5993208828522,Ophelie,0:17:16.205433,0:17:18.599321
1040.7724957555179,1042.4533106960953,Ophelie,0:17:20.772496,0:17:22.453311
1043.8285229202038,1047.0033955857384,Ashley,0:17:23.828523,0:17:27.003396
1047.8862478777592,1050.7385398981323,Ashley,0:17:27.886248,0:17:30.738540
1051.7911714770798,1060.212224108659,Ashley,0:17:31.791171,0:17:40.212224
1062.181663837012,1065.6621392190154,Narrator,0:17:42.181664,0:17:45.662139
1067.6485568760613,1071.6553480475382,Narrator,0:17:47.648557,0:17:51.655348
1071.893039049236,1078.106960950764,Narrator,0:17:51.893039,0:17:58.106961
1078.853989813243,1081.3157894736842,Narrator,0:17:58.853990,0:18:01.315789
1081.9949066213921,1083.0984719864177,Narrator,0:18:01.994907,0:18:03.098472
1084.5755517826824,1088.3106960950763,Narrator,0:18:04.575552,0:18:08.310696
1089.193548387097,1095.7979626485571,Narrator,0:18:09.193548,0:18:15.797963
1097.3599320882854,1099.2784380305602,Narrator,0:18:17.359932,0:18:19.278438
1100.8573853989815,1112.1307300509338,Narrator,0:18:20.857385,0:18:32.130730
1113.2682512733445,1116.9185059422753,Narrator,0:18:33.268251,0:18:36.918506
1118.3616298811544,1130.4159592529713,Narrator,0:18:38.361630,0:18:50.415959
1131.893039049236,1138.9219015280137,Narrator,0:18:51.893039,0:18:58.921902
1140.7894736842104,1156.2393887945673,Narrator,0:19:00.789474,0:19:16.239389
1157.13921901528,1164.337860780985,Narrator,0:19:17.139219,0:19:24.337861
1164.711375212224,1173.7945670628183,Narrator,0:19:24.711375,0:19:33.794567
1175.407470288625,1191.5365025466895,Narrator,0:19:35.407470,0:19:51.536503
1192.2665534804755,1194.3548387096776,Narrator,0:19:52.266553,0:19:54.354839
1195.0339558573855,1199.6689303904923,Narrator,0:19:55.033956,0:19:59.668930
1199.9915110356537,1209.1595925297115,Narrator,0:19:59.991511,0:20:09.159593
1210.483870967742,1213.319185059423,Narrator,0:20:10.483871,0:20:13.319185
1214.8641765704583,1226.2563667232598,Narrator,0:20:14.864177,0:20:26.256367
1227.4108658743635,1233.4719864176573,Narrator,0:20:27.410866,0:20:33.471986
1236.2903225806454,1256.2054329371817,Frederic,0:20:36.290323,0:20:56.205433
1258.3786078098474,1260.942275042445,Helen,0:20:58.378608,0:21:00.942275
1261.570458404075,1262.640067911715,Helen,0:21:01.570458,0:21:02.640068
1263.30220713073,1266.086587436333,Helen,0:21:03.302207,0:21:06.086587
1267.835314091681,1269.193548387097,Helen,0:21:07.835314,0:21:09.193548
1269.5500848896436,1275.067911714771,Helen,0:21:09.550085,0:21:15.067912
1278.3786078098474,1282.7249575551782,Narrator,0:21:18.378608,0:21:22.724958
1283.2342954159594,1298.8709677419356,Narrator,0:21:23.234295,0:21:38.870968
1301.230899830221,1307.054329371817,Narrator,0:21:41.230900,0:21:47.054329
1308.5993208828522,1316.9185059422753,Narrator,0:21:48.599321,0:21:56.918506
1318.0899830220715,1322.9966044142616,Narrator,0:21:58.089983,0:22:02.996604
1323.709677419355,1327.9032258064517,Narrator,0:22:03.709677,0:22:07.903226
1328.1409168081495,1332.2665534804755,Narrator,0:22:08.140917,0:22:12.266553
1333.1663837011884,1337.9032258064517,Narrator,0:22:13.166384,0:22:17.903226
1339.6519524617997,1362.4702886247878,Frederic,0:22:19.651952,0:22:42.470289
1363.5568760611204,1367.9711375212223,Helen,0:22:43.556876,0:22:47.971138
1368.514431239389,1370.6536502546692,Helen,0:22:48.514431,0:22:50.653650
1370.942275042445,1374.1680814940578,Helen,0:22:50.942275,0:22:54.168081
1375.4584040747031,1377.9881154499153,Helen,0:22:55.458404,0:22:57.988115
1378.8200339558575,1381.230899830221,Helen,0:22:58.820034,0:23:01.230900
1381.893039049236,1384.1850594227503,Helen,0:23:01.893039,0:23:04.185059
1384.4397283531412,1388.7691001697794,Helen,0:23:04.439728,0:23:08.769100
1390.602716468591,1392.962648556876,Helen,0:23:10.602716,0:23:12.962649
1395.1528013582342,1396.5110356536502,Helen,0:23:15.152801,0:23:16.511036
1397.2750424448218,1398.1918505942276,Helen,0:23:17.275042,0:23:18.191851
1399.3803056027164,1400.3650254668933,Helen,0:23:19.380306,0:23:20.365025
1400.483870967742,1402.0288624787777,Helen,0:23:20.483871,0:23:22.028862
1405.7979626485571,1409.0067911714773,Helen,0:23:25.797963,0:23:29.006791
1411.0611205432938,1413.3870967741937,Ashley,0:23:31.061121,0:23:33.387097
1414.0152801358236,1415.1358234295417,Ashley,0:23:34.015280,0:23:35.135823
1415.5602716468593,1417.4617996604416,Ashley,0:23:35.560272,0:23:37.461800
1418.853989813243,1420.7385398981323,Ashley,0:23:38.853990,0:23:40.738540
1420.8573853989815,1421.6723259762311,Ashley,0:23:40.857385,0:23:41.672326
1423.0984719864177,1427.156196943973,Ashley,0:23:43.098472,0:23:47.156197
1428.2427843803057,1429.533106960951,Ashley,0:23:48.242784,0:23:49.533107
1430.6876061120543,1431.502546689304,Ashley,0:23:50.687606,0:23:51.502547
1431.502546689304,1431.621392190153,SPEAKER_11,0:23:51.502547,0:23:51.621392
1431.621392190153,1433.5398981324279,Ashley,0:23:51.621392,0:23:53.539898
1433.93039049236,1435.6621392190154,Ashley,0:23:53.930390,0:23:55.662139
1436.2903225806454,1440.3820033955858,Ashley,0:23:56.290323,0:24:00.382003
1441.3157894736842,1442.7758913412563,Ashley,0:24:01.315789,0:24:02.775891
1446.035653650255,1451.570458404075,Ashley,0:24:06.035654,0:24:11.570458
1453.8794567062819,1461.3667232597622,Ashley,0:24:13.879457,0:24:21.366723
1461.9949066213921,1463.0645161290322,Ashley,0:24:21.994907,0:24:23.064516
1463.370118845501,1472.0797962648558,Ashley,0:24:23.370119,0:24:32.079796
1477.2071307300512,1482.2665534804755,Narrator,0:24:37.207131,0:24:42.266553
1483.5568760611204,1495.3056027164685,Narrator,0:24:43.556876,0:24:55.305603
1496.2224108658743,1497.8862478777592,Narrator,0:24:56.222411,0:24:57.886248
1499.5500848896436,1502.640067911715,Helen,0:24:59.550085,0:25:02.640068
1503.2173174872664,1515.1358234295417,Helen,0:25:03.217317,0:25:15.135823
1517.0203735144314,1529.7877758913414,Frederic,0:25:17.020374,0:25:29.787776
1532.4023769100172,1534.388794567063,Narrator,0:25:32.402377,0:25:34.388795
1535.8319185059422,1546.2054329371817,Narrator,0:25:35.831919,0:25:46.205433
1547.8692699490662,1549.6859083191853,Narrator,0:25:47.869270,0:25:49.685908
1550.4329371816639,1558.3276740237693,Narrator,0:25:50.432937,0:25:58.327674
1560.2292020373516,1562.3514431239391,Narrator,0:26:00.229202,0:26:02.351443
1563.9134125636674,1568.6332767402378,Narrator,0:26:03.913413,0:26:08.633277
1569.923599320883,1575.6621392190154,Narrator,0:26:09.923599,0:26:15.662139
1577.6825127334464,1579.1086587436334,Narrator,0:26:17.682513,0:26:19.108659
1580.3820033955858,1587.5806451612902,Narrator,0:26:20.382003,0:26:27.580645
1589.142614601019,1590.874363327674,Narrator,0:26:29.142615,0:26:30.874363
1592.7589134125637,1598.7691001697794,Narrator,0:26:32.758913,0:26:38.769100
1600.8573853989815,1606.2054329371817,Narrator,0:26:40.857385,0:26:46.205433
1610.0084889643463,1614.9151103565364,Frederic,0:26:50.008489,0:26:54.915110
1616.409168081494,1622.623089983022,Frederic,0:26:56.409168,0:27:02.623090
1623.947368421053,1647.2920203735143,Frederic,0:27:03.947368,0:27:27.292020
1634.9320882852294,1635.1867572156198,SPEAKER_11,0:27:14.932088,0:27:15.186757
1642.928692699491,1643.4040747028862,SPEAKER_11,0:27:22.928693,0:27:23.404075
1647.4617996604416,1659.7707979626484,Frederic,0:27:27.461800,0:27:39.770798
1659.923599320883,1659.9915110356537,Frederic,0:27:39.923599,0:27:39.991511
1659.9915110356537,1660.0594227504243,SPEAKER_11,0:27:39.991511,0:27:40.059423
1662.0118845500851,1663.319185059423,Frederic,0:27:42.011885,0:27:43.319185
1663.4040747028862,1663.8285229202038,Frederic,0:27:43.404075,0:27:43.828523
1663.998302207131,1666.3921901528015,Frederic,0:27:43.998302,0:27:46.392190
1666.8336162988116,1669.7877758913414,Frederic,0:27:46.833616,0:27:49.787776
1670.925297113752,1672.300509337861,Frederic,0:27:50.925297,0:27:52.300509
1672.5382003395584,1676.748726655348,Frederic,0:27:52.538200,0:27:56.748727
1677.784380305603,1685.1867572156198,Helen,0:27:57.784380,0:28:05.186757
1686.2224108658743,1687.444821731749,Helen,0:28:06.222411,0:28:07.444822
1687.7504244482175,1688.7691001697794,Helen,0:28:07.750424,0:28:08.769100
1689.2784380305602,1696.5280135823432,Helen,0:28:09.278438,0:28:16.528014
1697.7504244482175,1702.6740237691001,Helen,0:28:17.750424,0:28:22.674024
1703.0645161290322,1708.8879456706281,Helen,0:28:23.064516,0:28:28.887946
1710.263157894737,1723.2342954159594,Frederic,0:28:30.263158,0:28:43.234295
1720.874363327674,1721.230899830221,SPEAKER_00,0:28:40.874363,0:28:41.230900
1723.268251273345,1725.3225806451615,Frederic,0:28:43.268251,0:28:45.322581
1725.8658743633277,1752.4702886247878,Frederic,0:28:45.865874,0:29:12.470289
1754.0831918505942,1756.307300509338,Helen,0:29:14.083192,0:29:16.307301
1756.358234295416,1761.4855687606114,Helen,0:29:16.358234,0:29:21.485569
